NBS_desc,NBS_short_name,time_at_threat,function_type,years_to_max,year_start,year_50,saturation
Agroforestry,Agro,0,linear,8,2022,2034,50
Avoided woodfuel,Woodfuel,0,constant,0,2022,2037,100
Better cropping,Crops,0,constant,5,2025,2042,50
Biochar,Biochar,0,constant,0,2024,2042,100
Fire management,Fire,100,pulse,0,2024,2039,100
Improved plantations,IFM,0,linear,5,2021,2030,65
Legumes in pastures,Legumes,0,constant,3,2024,2038,100
Livestock management,Livestock,0,constant,0,2024,2041,100
Mangrove restoration,Mangrove,0,linear,10,2024,2046,100
Natural forest management,NatFor,0,linear,10,2024,2039,50
Nutrient management,CropNut,0,constant,0,2028,2051,100
Optimal grazing,Grazing,0,constant,3,2025,2041,100
Peatland restoration,Peatland,0,constant,2,2022,2042,20
Protect forest,REDD,20,pulse,0,2021,2028,100
Protect grassland,REDDgrass,30,pulse,0,2022,2028,100
Protect mangrove,REDDmang,20,pulse,0,2021,2026.5,68
Protect peatland,REDDpeat,30,pulse,0,2021,2027,89
Protect salt marsh,REDDsalt,50,pulse,0,2021,2026.5,64
Protect seagrass,REDDseag,30,pulse,0,2021,2026.5,67
Reforestation,Refo,0,linear,8,2023,2047,25
Rice management,Rice,0,constant,0,2024,2039,100
Salt marsh restoration,Salt,0,linear,10,2024,2046,57
Seagrass restoration,Seagrass,0,linear,5,2024,2046,51
