NBS_desc,NBS_short_name,time_at_threat,function_type,years_to_max,year_start,year_50,saturation
Agroforestry,Agro,30,constant,0,2018,2024,50
Avoided woodfuel,Woodfuel,30,constant,0,2018,2024,100
Better cropping,Crops,30,constant,0,2018,2024,50
Biochar,Biochar,30,constant,0,2018,2024,100
Fire management,Fire,30,pulse,0,2018,2024,100
Improved plantations,IFM,30,constant,0,2018,2024,65
Legumes in pastures,Legumes,30,constant,0,2018,2024,100
Livestock management,Livestock,30,constant,0,2018,2024,100
Mangrove restoration,Mangrove,30,constant,0,2018,2024,100
Natural forest management,NatFor,30,constant,0,2018,2024,50
Nutrient management,CropNut,30,constant,0,2018,2024,100
Optimal grazing,Grazing,30,constant,0,2018,2024,100
Peatland restoration,Peatland,30,constant,0,2018,2024,20
Protect forest,REDD,30,pulse,0,2018,2024,100
Protect grassland,REDDgrass,30,pulse,0,2018,2024,100
Protect mangrove,REDDmang,30,pulse,0,2018,2024,68
Protect peatland,REDDpeat,30,pulse,0,2018,2024,89
Protect salt marsh,REDDsalt,30,pulse,0,2018,2024,64
Protect seagrass,REDDseag,30,pulse,0,2018,2024,67
Reforestation,Refo,30,constant,0,2018,2024,25
Rice management,Rice,30,constant,0,2018,2024,100
Salt marsh restoration,Salt,30,constant,0,2018,2024,57
Seagrass restoration,Seagrass,30,constant,0,2018,2024,51
