NBS_desc,NBS_short_name,time_at_threat,function_type,years_to_max,year_start,year_50,saturation
Agroforestry,Agro,0,linear,8,2050,2091,50
Avoided woodfuel,Woodfuel,0,constant,0,2050,2105,100
Better cropping,Crops,0,constant,5,2020,2040,50
Biochar,Biochar,0,constant,0,2050,2075,100
Fire management,Fire,100,pulse,0,2050,2095,100
Improved plantations,IFM,0,linear,5,2050,2080,65
Legumes in pastures,Legumes,0,constant,3,2020,2055,100
Livestock management,Livestock,0,constant,0,2050,2085,100
Mangrove restoration,Mangrove,0,linear,10,2050,2090,100
Natural forest management,NatFor,0,linear,10,2010,2080,50
Nutrient management,CropNut,0,constant,0,2020,2040,100
Optimal grazing,Grazing,0,constant,3,2020,2085,100
Peatland restoration,Peatland,0,constant,2,2022,2070,20
Protect forest,REDD,20,pulse,0,2001,2040,100
Protect grassland,REDDgrass,30,pulse,0,2050,2080,100
Protect mangrove,REDDmang,20,pulse,0,2020,2040,68
Protect peatland,REDDpeat,30,pulse,0,2015,2050,89
Protect salt marsh,REDDsalt,50,pulse,0,2030,2070,64
Protect seagrass,REDDseag,30,pulse,0,2026,2055,67
Reforestation,Refo,0,linear,8,2050,2090,25
Rice management,Rice,0,constant,0,2025,2050,100
Salt marsh restoration,Salt,0,linear,10,2050,2103,57
Seagrass restoration,Seagrass,0,linear,5,2050,2094,51
