NBS_desc,NBS_short_name,time_at_threat,function_type,years_to_max,year_start,year_50,saturation
Agroforestry,Agro,0,linear,8,2025,2043,50
Avoided woodfuel,Woodfuel,0,constant,0,2023,2041,100
Better cropping,Crops,0,constant,5,2026,2045,50
Biochar,Biochar,0,constant,0,2026,2046,100
Fire management,Fire,100,pulse,0,2024,2039,100
Improved plantations,IFM,0,linear,5,2022,2034,65
Legumes in pastures,Legumes,0,constant,3,2024,2039,100
Livestock management,Livestock,0,constant,0,2023,2035,100
Mangrove restoration,Mangrove,0,linear,10,2024,2052,100
Natural forest management,NatFor,0,linear,10,2031,2055,50
Nutrient management,CropNut,0,constant,0,2028,2052,100
Optimal grazing,Grazing,0,constant,3,2028,2049,100
Peatland restoration,Peatland,0,constant,2,2022,2048,20
Protect forest,REDD,20,pulse,0,2021,2026,100
Protect grassland,REDDgrass,30,pulse,0,2021,2026,100
Protect mangrove,REDDmang,20,pulse,0,2021,2026,68
Protect peatland,REDDpeat,30,pulse,0,2021,2026,89
Protect salt marsh,REDDsalt,50,pulse,0,2021,2026,64
Protect seagrass,REDDseag,30,pulse,0,2021,2026,67
Reforestation,Refo,0,linear,8,2021,2031,25
Rice management,Rice,0,constant,0,2025,2042,100
Salt marsh restoration,Salt,0,linear,10,2024,2052,57
Seagrass restoration,Seagrass,0,linear,5,2024,2052,51
